gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1949650011	2d18c666-ee2b-40a3-a708-280ea19c0fbc	RBCM:Botany:V201755	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA	Ladysmith: Transfer Beach Park	cc6110c7-f75c-47c8-8931-f7dd3f324777	48.992778	-123.806944			4.0				2007-09-25T00:00:00Z	25	9	2007	3034742	3034742	PRESERVED_SPECIMEN	RBCM	V	V201755	7297	Kendrick Marr	2008-11-17T00:00:00Z	CC_BY_4_0	Royal BC Museum	Kendrick Marr			2018-12-12T14:39:33.324Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1949645848	2d18c666-ee2b-40a3-a708-280ea19c0fbc	RBCM:Botany:V197434	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA	Port Alberni: Shopping Center at Johnston and Broughton Roads	cc6110c7-f75c-47c8-8931-f7dd3f324777	49.2675	-124.783056			63.0				2007-07-09T00:00:00Z	9	7	2007	3034742	3034742	PRESERVED_SPECIMEN	RBCM	V	V197434	6899	Kendrick Marr	2007-01-10T00:00:00Z	CC_BY_4_0	Royal BC Museum	Kendrick Marr			2018-12-12T14:39:30.600Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1949645752	2d18c666-ee2b-40a3-a708-280ea19c0fbc	RBCM:Botany:V197587	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA	Port Alberni: Landfill-compost area	cc6110c7-f75c-47c8-8931-f7dd3f324777	49.255833	-124.853611			83.0				2007-07-09T00:00:00Z	9	7	2007	3034742	3034742	PRESERVED_SPECIMEN	RBCM	V	V197587	6957	Kendrick Marr	2007-01-10T00:00:00Z	CC_BY_4_0	Royal BC Museum	Kendrick Marr			2018-12-12T14:39:30.508Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1949645373	2d18c666-ee2b-40a3-a708-280ea19c0fbc	RBCM:Botany:V197291	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA	Victoria: Between Tyee Road and Galloping Goose Trail	cc6110c7-f75c-47c8-8931-f7dd3f324777	48.434444	-123.38			5.0				2007-06-18T00:00:00Z	18	6	2007	3034742	3034742	PRESERVED_SPECIMEN	RBCM	V	V197291	6594	Kendrick Marr	2007-01-10T00:00:00Z	CC_BY_4_0	Royal BC Museum	Kendrick Marr			2018-12-12T14:39:30.314Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1949620947	2d18c666-ee2b-40a3-a708-280ea19c0fbc	RBCM:Botany:V172359	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA	Denman Island: sandy beach at E end of Denman Road	cc6110c7-f75c-47c8-8931-f7dd3f324777	49.533333	-124.75							1995-03-07T00:00:00Z	7	3	1995	3034742	3034742	PRESERVED_SPECIMEN	RBCM	V	V172359	61	Judy Jamison		CC_BY_4_0	Royal BC Museum	Judy Jamison			2018-12-12T14:39:14.945Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1949620914	2d18c666-ee2b-40a3-a708-280ea19c0fbc	RBCM:Botany:V172358	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA	Denman Island: disturbed area in drainage ditch along W side of Swan Road, 400m N of intersection with Denman Road	cc6110c7-f75c-47c8-8931-f7dd3f324777	49.533333	-124.75			40.0				1995-06-28T00:00:00Z	28	6	1995	3034742	3034742	PRESERVED_SPECIMEN	RBCM	V	V172358	44	Judy Jamison		CC_BY_4_0	Royal BC Museum	Judy Jamison			2018-12-12T14:39:14.928Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1949617533	2d18c666-ee2b-40a3-a708-280ea19c0fbc	RBCM:Botany:V169143	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA	Victoria: Royal British Columbia Museum; Native Plant Garden	cc6110c7-f75c-47c8-8931-f7dd3f324777	48.433333	-123.366667							1997-01-09T00:00:00Z	9	1	1997	3034742	3034742	PRESERVED_SPECIMEN	RBCM	V	V169143	28	T. Brayshaw	1997-01-10T00:00:00Z	CC_BY_4_0	Royal BC Museum	Charles Knighton			2018-12-12T14:39:12.390Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1949616374	2d18c666-ee2b-40a3-a708-280ea19c0fbc	RBCM:Botany:V167827	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA		cc6110c7-f75c-47c8-8931-f7dd3f324777	49.533333	-124.816667							1985-07-15T00:00:00Z	15	7	1985	3034742	3034742	PRESERVED_SPECIMEN	RBCM	V	V167827	85-248	Leon Pavlick		CC_BY_4_0	Royal BC Museum	Leon Pavlick			2018-12-12T14:39:11.758Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1932308371	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/17410372	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.477833	-123.345179	5.0						2018-10-11T10:26:07Z	11	10	2018	3034742	3034742	HUMAN_OBSERVATION	iNaturalist	Observations	17410372			2018-10-22T20:17:00Z	CC_BY_NC_4_0	kg-	kg-			2019-01-13T23:36:05.395Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1931513628	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/17548549	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.406658	-123.480473	1309.0						2018-10-10T15:47:00Z	10	10	2018	3034742	3034742	HUMAN_OBSERVATION	iNaturalist	Observations	17548549			2018-10-16T02:00:40Z	CC_BY_NC_4_0	citizen1	citizen1			2018-12-07T06:12:09.327Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1891317813	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/15358627	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.637887	-123.42038	8.0						2018-08-12T11:55:51Z	12	8	2018	3034742	3034742	HUMAN_OBSERVATION	iNaturalist	Observations	15358627			2018-08-12T18:57:37Z	CC_BY_NC_4_0	David McCorquodale	David McCorquodale			2018-12-08T22:16:32.583Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1831141284	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6931842	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.431261	-123.456306							2017-07-01T12:47:00Z	1	7	2017	3034742	3034742	HUMAN_OBSERVATION	iNaturalist	Observations	6931842			2017-07-05T17:45:05Z	CC_BY_NC_4_0	Wendy Anthony	Wendy Anthony			2018-12-07T05:36:18.018Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1658227562	08502f36-77c5-4fca-aeda-3c306b5179f9	BABY-05782-06-0608	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA	Chemainus, railway station	6567af74-d231-4588-a123-5d0b7a095fda	48.9167	-123.7			100.0				2006-09-14T00:00:00Z	14	9	2006	3034742	3034742	PRESERVED_SPECIMEN	BABY	BABY		06-0608	B.A. Bennett		CC_BY_4_0		B.A. Bennett; R.S. Mulder			2018-12-29T17:57:39.757Z		GEODETIC_DATUM_ASSUMED_WGS84
1586100489	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7175050	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.647541	-123.439035	557.0						2017-07-23T11:32:00Z	23	7	2017	3034742	3034742	HUMAN_OBSERVATION	iNaturalist	Observations	7175050			2017-07-23T18:33:46Z	CC_BY_NC_4_0	westcoast_girl	westcoast_girl			2018-12-07T01:23:13.020Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1584430887	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7225247	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.457829	-123.306029	412.0						2017-07-23T17:35:00Z	23	7	2017	3034742	3034742	HUMAN_OBSERVATION	iNaturalist	Observations	7225247			2017-07-27T00:36:37Z	CC_BY_NC_4_0	westcoast_girl	westcoast_girl			2018-12-07T01:06:17.361Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1572360161	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6911115	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.578431	-123.368831							2017-07-01T20:58:00Z	1	7	2017	3034742	3034742	HUMAN_OBSERVATION	iNaturalist	Observations	6911115			2017-07-04T02:11:58Z	CC_BY_NC_4_0	Wendy Anthony	Wendy Anthony			2018-12-09T15:18:49.540Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1572360067	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6911110	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.57677	-123.368111							2017-07-01T20:52:00Z	1	7	2017	3034742	3034742	HUMAN_OBSERVATION	iNaturalist	Observations	6911110			2017-07-04T02:11:55Z	CC_BY_NC_4_0	Wendy Anthony	Wendy Anthony			2018-12-09T15:18:49.734Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1563430206	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6402663	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.472829	-123.403807	8.0						2016-09-02T17:00:00Z	2	9	2016	3034742	3034742	HUMAN_OBSERVATION	iNaturalist	Observations	6402663			2017-05-28T17:39:23Z	CC_BY_NC_4_0	David Badke	David Badke			2018-12-30T21:50:33.333Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1302705952	07044577-bd82-4089-9f3a-f4a9d2170b2e	1cd3c35d-77ee-46a6-bae1-995b4c2a2cd6	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA		fee3882f-5360-4f01-a1ca-767c48fa629c	48.9167	-123.7							2006-09-14T00:00:00Z	14	9	2006	3034742	3034742	UNKNOWN	CPNWH		2487741	5782			CC_BY_4_0		B. A. Bennett			2018-12-07T20:16:52.431Z		GEODETIC_DATUM_ASSUMED_WGS84
1302705950	07044577-bd82-4089-9f3a-f4a9d2170b2e	954d1f1e-26cf-4df0-be35-903c2452cdd4	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota		SPECIES	Daucus carota L.	CA		fee3882f-5360-4f01-a1ca-767c48fa629c	48.433333	-123.366667							1997-09-01T00:00:00Z		9	1997	3034742	3034742	UNKNOWN	CPNWH		2487746	V169143			CC_BY_4_0		Charles Knighton			2018-12-07T20:16:52.366Z		GEODETIC_DATUM_ASSUMED_WGS84
